As Of,Document Create Date,Sales_ID,Material Number,Line Customer Request Date,Quantity Backordered in Base Unit,BackOrderedNetValue_USD,KEY,Rootcause,ETA Full BO,BO Category,Comments
2023-07-03,2023-06-14,5805d45b-5c46,021-CIDEZYME-01,2023-06-14,6,9450,NH9743553261,,1900-01-01,Desconocido,
2023-07-03,2023-05-16,fd5f44e0-4bb0,004-APTITR-01,2023-05-16,3,6435,TT3847664471,,1900-01-01,Desconocido,
2023-07-03,2023-06-07,747eb629-982d,004-APTITR-01,2023-06-07,13,78078,FK4187174017,,1900-01-01,Desconocido,
2023-07-03,2023-06-14,9a124a1d-66fa,008-CASSETTE-01,2023-06-14,2,26690,ND9068545710,,1900-01-01,Desconocido,
2023-07-03,2023-06-14,debd4937-69a3,015-VERISURE-MI,2023-06-14,8,32896,UR5726404958,,1900-01-01,Desconocido,
2023-07-03,2023-06-23,bd04aeb5-3a7b,010-VELOCITY-01,2023-06-23,12,43920,TB0323997038,,1900-01-01,Desconocido,
2023-07-03,2023-06-06,d875dcd8-bf4d,003-100S-01,2023-06-06,1,2352,KZ8835562613,,1900-01-01,Desconocido,
2023-07-03,2023-06-07,30026a5a-cd8c,010-VELOCITY-01,2023-06-07,1,244,FF0585761073,,1900-01-01,Desconocido,
2023-07-03,2023-05-09,3f4d3ca2-2878,014-VERISURE-BD,2023-05-09,1,2382,SO6264978082,,1900-01-01,Desconocido,
2023-07-03,2023-05-22,158203e6-03a2,006-TRAYMAT-01,2023-05-22,11,137214,EH3795535010,,1900-01-01,Desconocido,
2023-07-03,2023-06-13,5eff2f8b-aafe,014-VERISURE-BD,2023-06-13,3,38112,FK4512576416,,1900-01-01,Desconocido,
2023-07-03,2023-05-25,85e67699-84ff,017-EVOTECH-01,2023-05-25,12,210216,DI3197816619,,1900-01-01,Desconocido,
2023-07-03,2023-06-07,e9023b26-59c6,003-100S-01,2023-06-07,9,63504,MH7462887400,,1900-01-01,Desconocido,
2023-07-03,2023-06-05,111fa146-c6dc,005-APTITRH-01,2023-06-05,9,1170,EV5630383949,,1900-01-01,Desconocido,
2023-07-03,2023-06-23,84b13900-7fd8,013-SEALSURE-01,2023-06-23,14,39368,ME5772404340,,1900-01-01,Desconocido,
2023-07-03,2023-06-09,1253f4c3-7ed5,010-VELOCITY-01,2023-06-09,2,6344,SJ7782804914,,1900-01-01,Desconocido,
2023-07-03,2023-06-14,237aab2e-f372,010-VELOCITY-01,2023-06-14,5,17080,CG3041078086,,1900-01-01,Desconocido,
2023-07-03,2023-06-21,75411436-0d6f,012-BIOTRACE-MINI,2023-06-21,2,1904,BS6409795839,,1900-01-01,Desconocido,
2023-07-03,2023-06-09,9d15de08-60de,009-CCB-01,2023-06-09,3,13461,HJ5614718875,,1900-01-01,Desconocido,
2023-07-03,2023-06-14,f15a0a03-664c,021-CIDEZYME-01,2023-06-14,10,10500,UX4029470571,,1900-01-01,Desconocido,
2023-07-03,2023-06-13,60de9966-a158,006-TRAYMAT-01,2023-06-13,4,17820,FF3775677690,,1900-01-01,Desconocido,
2023-07-03,2023-06-20,e40f0c98-56a5,004-APTITR-01,2023-06-20,4,17160,PT1397307530,,1900-01-01,Desconocido,
2023-07-03,2023-06-05,b6c0c80c-c168,007-TYVEK-01,2023-06-05,17,124559,AU9571439576,,1900-01-01,Desconocido,
2023-07-03,2023-06-01,91d37c08-f225,012-BIOTRACE-MINI,2023-06-01,1,272,GV0883630596,,1900-01-01,Desconocido,
2023-07-03,2023-06-06,3c20d3df-75b7,001-100NX-01,2023-06-06,5,20450,XE9815716710,,1900-01-01,Desconocido,
2023-07-03,2023-06-09,2805d33b-912f,017-EVOTECH-01,2023-06-09,16,295040,UG2673561830,,1900-01-01,Desconocido,
2023-07-03,2023-06-14,62e82a06-9506,001-100NX-01,2023-06-14,4,16360,RN2022238277,,1900-01-01,Desconocido,
2023-07-03,2023-06-14,37a7e6d8-185d,013-SEALSURE-01,2023-06-14,10,14800,TE9618127390,,1900-01-01,Desconocido,
2023-07-03,2023-06-30,f1ff9728-a7ca,004-APTITR-01,2023-06-30,2,1716,DW8881668405,,1900-01-01,Desconocido,
2023-07-03,2023-06-07,fab97873-b6cc,018-ENZOL-01,2023-06-07,2,32300,XP2640248881,,1900-01-01,Desconocido,
2023-07-04,2023-06-20,6cc32446-82ec,008-CASSETTE-01,2023-06-20,6,28260,AQ3705256974,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,9007a412-7b4d,012-BIOTRACE-MINI,2023-06-13,15,40800,RJ5099617764,,1900-01-01,Desconocido,
2023-07-04,2023-06-30,652aed87-98f0,018-ENZOL-01,2023-06-30,2,3800,TZ3797467513,,1900-01-01,Desconocido,
2023-07-04,2023-06-05,7d5af7f6-bc68,017-EVOTECH-01,2023-06-05,1,1844,PR2853332768,,1900-01-01,Desconocido,
2023-07-04,2023-06-26,e90b142e-1e12,015-VERISURE-MI,2023-06-26,3,7710,XL4311265500,,1900-01-01,Desconocido,
2023-07-04,2023-06-16,5fdea1e3-d435,003-100S-01,2023-06-16,17,253232,HC1161509864,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,85333167-d2f4,005-APTITRH-01,2023-06-13,1,130,RU6203316188,,1900-01-01,Desconocido,
2023-07-04,2023-06-09,4bf1d257-04d4,007-TYVEK-01,2023-06-09,5,21550,XK0964968453,,1900-01-01,Desconocido,
2023-07-04,2023-06-09,9b56f4e8-0e92,019-CIDEX-01,2023-06-09,7,55608,XY2115129294,,1900-01-01,Desconocido,
2023-07-04,2023-06-30,6e99c20a-a8f2,019-CIDEX-01,2023-06-30,3,5958,PZ1012392036,,1900-01-01,Desconocido,
2023-07-04,2023-06-22,3072ac02-efcb,006-TRAYMAT-01,2023-06-22,5,22275,XW5162488087,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,1a405c63-7408,013-SEALSURE-01,2023-06-13,11,21164,YW6510064693,,1900-01-01,Desconocido,
2023-07-04,2023-05-22,d06fec92-3ec1,001-100NX-01,2023-05-22,3,14724,OV7843183889,,1900-01-01,Desconocido,
2023-07-04,2023-06-01,76ce144d-e351,019-CIDEX-01,2023-06-01,1,2648,HJ5047842713,,1900-01-01,Desconocido,
2023-07-04,2023-06-08,107b4bd1-c6f3,003-100S-01,2023-06-08,10,109760,BQ1882571663,,1900-01-01,Desconocido,
2023-07-04,2023-06-09,ceb424c3-18b2,013-SEALSURE-01,2023-06-09,1,148,YF1670909916,,1900-01-01,Desconocido,
2023-07-04,2023-06-16,6a4796c1-b822,018-ENZOL-01,2023-06-16,15,242250,UI3585818282,,1900-01-01,Desconocido,
2023-07-04,2023-06-28,af7b5a74-91e9,018-ENZOL-01,2023-06-28,10,104500,BO0441810110,,1900-01-01,Desconocido,
2023-07-04,2023-06-28,a320452f-cafd,016-AEROFLEX-01,2023-06-28,3,8484,WC7315194986,,1900-01-01,Desconocido,
2023-07-04,2023-05-30,8e67280f-3f9c,009-CCB-01,2023-05-30,1,1923,NH9680433177,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,c4644f65-4d57,005-APTITRH-01,2023-06-13,1,26,SS4680086196,,1900-01-01,Desconocido,
2023-07-04,2023-06-29,903bbad0-e4cc,008-CASSETTE-01,2023-06-29,7,49455,BB2169870131,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,cb225553-a05f,021-CIDEZYME-01,2023-06-14,8,7560,FD5068056189,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,885f94aa-97c6,020-CIDEX-TS-01,2023-06-13,2,576,IV6373637764,,1900-01-01,Desconocido,
2023-07-04,2023-06-08,45ea99fa-31b5,010-VELOCITY-01,2023-06-08,2,7808,XL0950786120,,1900-01-01,Desconocido,
2023-07-04,2023-06-16,7c22cc9e-410a,007-TYVEK-01,2023-06-16,7,24136,XO4894433999,,1900-01-01,Desconocido,
2023-07-04,2023-05-30,750622b2-7e90,015-VERISURE-MI,2023-05-30,1,514,TT7722537460,,1900-01-01,Desconocido,
2023-07-04,2023-06-09,49e9051c-62b9,009-CCB-01,2023-06-09,2,17948,XQ4269056513,,1900-01-01,Desconocido,
2023-07-04,2023-06-16,b232620c-6b6f,012-BIOTRACE-MINI,2023-06-16,7,16184,ZM6362606905,,1900-01-01,Desconocido,
2023-07-04,2023-06-26,b3a15c86-6150,002-NX-01,2023-06-26,4,26620,UQ0315331587,,1900-01-01,Desconocido,
2023-07-04,2023-06-23,22285b6d-766f,012-BIOTRACE-MINI,2023-06-23,7,14280,XE2005147357,,1900-01-01,Desconocido,
2023-07-04,2023-06-22,c1efbbee-5707,012-BIOTRACE-MINI,2023-06-22,2,544,PR1337506612,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,1ef74a1e-3f3e,006-TRAYMAT-01,2023-06-13,8,128304,EP9210417701,,1900-01-01,Desconocido,
2023-07-04,2023-06-12,5076248c-c351,006-TRAYMAT-01,2023-06-12,5,44550,NO2657948162,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,743e5e13-0550,008-CASSETTE-01,2023-06-13,1,785,XU9207695102,,1900-01-01,Desconocido,
2023-07-04,2023-06-23,367ab060-855b,004-APTITR-01,2023-06-23,3,3861,DI6799631260,,1900-01-01,Desconocido,
2023-07-04,2023-06-01,266942f6-cc3d,009-CCB-01,2023-06-01,3,13461,OK4624351830,,1900-01-01,Desconocido,
2023-07-04,2023-05-31,4a9a0f30-b77a,017-EVOTECH-01,2023-05-31,9,149364,AT3165712241,,1900-01-01,Desconocido,
2023-07-04,2023-06-02,43280ff5-faed,016-AEROFLEX-01,2023-06-02,1,2828,FQ2681997089,,1900-01-01,Desconocido,
2023-07-04,2023-06-21,c4664563-5e1e,001-100NX-01,2023-06-21,3,22086,ZM1565827700,,1900-01-01,Desconocido,
2023-07-04,2023-06-05,edcb73a3-a9c3,009-CCB-01,2023-06-05,1,12179,RQ6246572073,,1900-01-01,Desconocido,
2023-07-04,2023-06-30,03cd2658-aec0,006-TRAYMAT-01,2023-06-29,4,71280,QP0240568392,,1900-01-01,Desconocido,
2023-07-04,2023-05-16,a7b35dde-e32a,001-100NX-01,2023-05-16,7,108794,LL7082976574,,1900-01-01,Desconocido,
2023-07-04,2023-06-23,95f26576-1709,018-ENZOL-01,2023-06-23,12,159600,HQ2854498989,,1900-01-01,Desconocido,
2023-07-04,2023-06-07,eb03aa31-963c,017-EVOTECH-01,2023-06-07,2,12908,IF0218355311,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,f3244aa8-909a,007-TYVEK-01,2023-06-13,10,64650,CF8121992912,,1900-01-01,Desconocido,
2023-07-04,2023-06-05,613cf248-6418,003-100S-01,2023-06-05,3,9408,WX7108146336,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,663a9b0e-028a,003-100S-01,2023-06-13,3,28224,AB6994659767,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,5b727fe5-7d26,011-BIOTRACE-PRO,2023-06-14,3,42408,ZE8118245085,,1900-01-01,Desconocido,
2023-07-04,2023-06-30,b1103770-589d,009-CCB-01,2023-06-29,1,6410,CL3127911372,,1900-01-01,Desconocido,
2023-07-04,2023-06-15,d002180e-a396,003-100S-01,2023-06-15,11,103488,WY3693401778,,1900-01-01,Desconocido,
2023-07-04,2023-06-23,6cf8ea3e-57aa,009-CCB-01,2023-06-23,8,61536,DU2558931825,,1900-01-01,Desconocido,
2023-07-04,2023-06-07,a238154c-26f7,006-TRAYMAT-01,2023-06-07,1,3564,ZS6954227771,,1900-01-01,Desconocido,
2023-07-04,2023-06-26,01994fb7-2e3f,004-APTITR-01,2023-06-26,2,5148,TZ5683603846,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,61abd2f2-faae,010-VELOCITY-01,2023-06-13,3,12444,IO2653651126,,1900-01-01,Desconocido,
2023-07-04,2023-06-06,314fc07b-2c25,021-CIDEZYME-01,2023-06-06,5,5775,AZ4985187152,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,eadbb7aa-8f84,020-CIDEX-TS-01,2023-06-13,7,784,XJ0162989492,,1900-01-01,Desconocido,
2023-07-04,2023-05-31,400b439f-881d,014-VERISURE-BD,2023-05-31,17,269960,VY8381846125,,1900-01-01,Desconocido,
2023-07-04,2023-06-07,922979ca-392b,001-100NX-01,2023-06-07,6,63804,BX7675133290,,1900-01-01,Desconocido,
2023-07-04,2023-05-09,56fd19ac-6d8b,012-BIOTRACE-MINI,2023-05-09,6,5712,HU8791839356,,1900-01-01,Desconocido,
2023-07-04,2023-05-22,8f390488-8d0b,003-100S-01,2023-05-22,3,23520,BJ4367768977,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,6e65d6a5-cb4f,005-APTITRH-01,2023-06-13,3,156,YJ7929839423,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,5887de41-bc4b,001-100NX-01,2023-06-14,1,8998,EA1960259094,,1900-01-01,Desconocido,
2023-07-04,2023-05-15,da7cf5ef-7e7b,013-SEALSURE-01,2023-05-15,2,592,DC6445814889,,1900-01-01,Desconocido,
2023-07-04,2023-05-25,d1817ab4-6c2f,009-CCB-01,2023-05-25,1,1282,RF1067443930,,1900-01-01,Desconocido,
2023-07-04,2023-06-07,509e854f-6dba,004-APTITR-01,2023-06-07,9,46332,YX5218579324,,1900-01-01,Desconocido,
2023-07-04,2023-06-05,ef204036-010b,011-BIOTRACE-PRO,2023-06-05,11,90024,HZ1959234939,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,7e93ef8e-97e1,001-100NX-01,2023-06-13,9,103068,KN9809577060,,1900-01-01,Desconocido,
2023-07-04,2023-06-26,c39825cb-479f,016-AEROFLEX-01,2023-06-26,1,1616,HL6066440790,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,f075c724-7ae5,007-TYVEK-01,2023-06-13,7,30170,ZH1998846528,,1900-01-01,Desconocido,
2023-07-04,2023-06-09,38046874-5e1c,011-BIOTRACE-PRO,2023-06-09,8,53568,MW6212798346,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,dc71198f-6b65,008-CASSETTE-01,2023-06-14,5,54950,MM9658982752,,1900-01-01,Desconocido,
2023-07-04,2023-06-26,c03ef829-cbc3,013-SEALSURE-01,2023-06-26,5,4440,LG1710016633,,1900-01-01,Desconocido,
2023-07-04,2023-06-21,dc71198f-6b65,008-CASSETTE-01,2023-06-21,9,98910,BQ9974634575,,1900-01-01,Desconocido,
2023-07-04,2023-06-09,7cd1041d-6ae0,021-CIDEZYME-01,2023-06-09,1,105,AX1440718718,,1900-01-01,Desconocido,
2023-07-04,2023-06-01,fb1d8f75-2595,001-100NX-01,2023-06-01,6,49080,IN3352717292,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,13885ffc-0c5a,003-100S-01,2023-06-14,1,4704,LR9214949403,,1900-01-01,Desconocido,
2023-07-04,2023-06-30,01799e54-7d3d,014-VERISURE-BD,2023-06-29,2,12704,CR7949517570,,1900-01-01,Desconocido,
2023-07-04,2023-06-28,041e1a92-d7a4,010-VELOCITY-01,2023-06-28,1,244,SI3251722560,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,89c103d6-7910,006-TRAYMAT-01,2023-06-13,16,256608,PY9887654274,,1900-01-01,Desconocido,
2023-07-04,2023-06-21,447784ad-4e33,017-EVOTECH-01,2023-06-21,1,12908,JD6478006370,,1900-01-01,Desconocido,
2023-07-04,2023-06-22,fa9ec1c6-cc31,003-100S-01,2023-06-22,10,117600,LG0125035621,,1900-01-01,Desconocido,
2023-07-04,2023-06-20,ff4a4949-b21c,019-CIDEX-01,2023-06-20,7,50974,HT5807366393,,1900-01-01,Desconocido,
2023-07-04,2023-06-28,55e531e9-ad14,017-EVOTECH-01,2023-06-28,2,3688,MY1238847127,,1900-01-01,Desconocido,
2023-07-04,2023-06-05,4d907126-d4db,004-APTITR-01,2023-06-05,10,47190,IR2869950168,,1900-01-01,Desconocido,
2023-07-04,2023-06-01,e0f50418-ffe3,004-APTITR-01,2023-06-01,18,146718,RG4817000233,,1900-01-01,Desconocido,
2023-07-04,2023-06-13,794da9aa-8c40,005-APTITRH-01,2023-06-13,10,1690,DM8302256548,,1900-01-01,Desconocido,
2023-07-04,2023-06-06,be50ef24-c785,006-TRAYMAT-01,2023-06-06,8,64152,ML9123493657,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,2b920a1f-454d,001-100NX-01,2023-06-14,12,166872,IS8737741497,,1900-01-01,Desconocido,
2023-07-04,2023-06-01,9b0c6681-ee67,007-TYVEK-01,2023-06-01,1,5603,MK4901042364,,1900-01-01,Desconocido,
2023-07-04,2023-06-21,159e3520-eabe,001-100NX-01,2023-06-21,4,13088,YA1764940065,,1900-01-01,Desconocido,
2023-07-04,2023-06-22,7fde2a34-cdb1,005-APTITRH-01,2023-06-22,3,624,UF0407095935,,1900-01-01,Desconocido,
2023-07-04,2023-06-14,7aebcc86-77e1,020-CIDEX-TS-01,2023-06-14,1,80,JF4348548970,,1900-01-01,Desconocido,
2023-07-04,2023-06-30,ca3bcec5-9cc9,015-VERISURE-MI,2023-06-29,1,1028,HP8729552314,,1900-01-01,Desconocido,
2023-07-04,2023-06-07,def6eb45-231f,020-CIDEX-TS-01,2023-06-07,8,1024,WW0465279118,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,9fe58d16-8f1a,006-TRAYMAT-01,2023-06-13,13,150579,IP6728481820,,1900-01-01,Desconocido,
2023-07-05,2023-06-30,911b4ab3-37b6,009-CCB-01,2023-06-30,2,19230,DZ0124400931,,1900-01-01,Desconocido,
2023-07-05,2023-06-05,d10c43b1-d490,009-CCB-01,2023-06-05,4,20512,IN1550345639,,1900-01-01,Desconocido,
2023-07-05,2023-06-14,a21f022a-ed12,003-100S-01,2023-06-14,14,153664,AO0167691231,,1900-01-01,Desconocido,
2023-07-05,2023-06-26,bfd566e2-05e9,005-APTITRH-01,2023-06-26,5,390,MD4668174032,,1900-01-01,Desconocido,
2023-07-05,2023-07-04,e175a826-431e,007-TYVEK-01,2023-07-04,4,20688,MW4233611225,,1900-01-01,Desconocido,
2023-07-05,2023-06-16,651d342b-d921,002-NX-01,2023-06-16,9,98010,TI6327105275,,1900-01-01,Desconocido,
2023-07-05,2023-06-30,07aebda0-3d59,004-APTITR-01,2023-06-30,6,28314,DL4497902436,,1900-01-01,Desconocido,
2023-07-05,2023-06-22,ce786f3c-4196,009-CCB-01,2023-06-22,2,6410,AL6901281124,,1900-01-01,Desconocido,
2023-07-05,2023-07-03,8ce3de7b-b70a,002-NX-01,2023-07-03,6,61710,OM3430386375,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,12555220-cdf6,010-VELOCITY-01,2023-06-13,4,8784,OF5090780562,,1900-01-01,Desconocido,
2023-07-05,2023-07-04,e36ae856-b4fd,014-VERISURE-BD,2023-07-04,1,794,MH8797906883,,1900-01-01,Desconocido,
2023-07-05,2023-06-01,4be187c0-cb66,009-CCB-01,2023-06-01,8,76920,ZC5899443458,,1900-01-01,Desconocido,
2023-07-05,2023-06-23,f4669563-ad31,009-CCB-01,2023-06-23,5,22435,AK8531423327,,1900-01-01,Desconocido,
2023-07-05,2023-07-03,38b7862b-e44f,010-VELOCITY-01,2023-07-03,4,11712,PV9080347616,,1900-01-01,Desconocido,
2023-07-05,2023-06-16,bf2ff0ab-85a0,002-NX-01,2023-06-16,2,3630,FV4910339273,,1900-01-01,Desconocido,
2023-07-05,2023-06-28,cd894667-7385,002-NX-01,2023-06-28,5,33275,BW3902992450,,1900-01-01,Desconocido,
2023-07-05,2023-06-07,a7a16272-7480,019-CIDEX-01,2023-06-07,2,10592,KV8455844897,,1900-01-01,Desconocido,
2023-07-05,2023-06-09,13c82920-fb7d,016-AEROFLEX-01,2023-06-09,4,8080,WO4170161311,,1900-01-01,Desconocido,
2023-07-05,2023-06-22,5936ba7b-0674,017-EVOTECH-01,2023-06-22,3,16596,SM0477177169,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,9847e1df-9c8f,010-VELOCITY-01,2023-06-13,4,8784,WA8235904910,,1900-01-01,Desconocido,
2023-07-05,2023-06-28,7276a95b-f2b5,017-EVOTECH-01,2023-06-28,2,29504,GI0035963417,,1900-01-01,Desconocido,
2023-07-05,2023-07-04,7938913c-8eb6,013-SEALSURE-01,2023-07-04,10,25160,YP4501314159,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,c2af0f11-8a67,007-TYVEK-01,2023-06-13,3,9051,LL4770103111,,1900-01-01,Desconocido,
2023-07-05,2023-06-07,6af3e0fe-46c2,018-ENZOL-01,2023-06-07,5,23750,HY7286326913,,1900-01-01,Desconocido,
2023-07-05,2023-06-29,ba8cc8f8-fb3b,017-EVOTECH-01,2023-06-29,2,7376,WX3839056542,,1900-01-01,Desconocido,
2023-07-05,2023-06-14,e65aaa59-300c,001-100NX-01,2023-06-14,9,147240,IK4786975317,,1900-01-01,Desconocido,
2023-07-05,2023-06-08,055d6081-f7ae,021-CIDEZYME-01,2023-06-08,1,210,AX2783463669,,1900-01-01,Desconocido,
2023-07-05,2023-06-16,ed1ea131-4dce,002-NX-01,2023-06-16,4,9680,KW1014076588,,1900-01-01,Desconocido,
2023-07-05,2023-06-05,d8ef669e-dbce,012-BIOTRACE-MINI,2023-06-05,2,544,FO8685213706,,1900-01-01,Desconocido,
2023-07-05,2023-07-04,06581c89-2877,015-VERISURE-MI,2023-07-04,2,19532,UG1298455624,,1900-01-01,Desconocido,
2023-07-05,2023-05-30,59a317c2-6362,002-NX-01,2023-05-30,4,16940,OZ7302612459,,1900-01-01,Desconocido,
2023-07-05,2023-06-16,084b72f5-1a06,007-TYVEK-01,2023-06-16,11,80597,KC4601456638,,1900-01-01,Desconocido,
2023-07-05,2023-05-09,85ec1cd5-a346,012-BIOTRACE-MINI,2023-05-09,13,30056,OI9388749775,,1900-01-01,Desconocido,
2023-07-05,2023-06-23,bf20edfb-e76a,015-VERISURE-MI,2023-06-23,13,100230,WU5485270661,,1900-01-01,Desconocido,
2023-07-05,2023-07-04,84c6fc89-cf73,003-100S-01,2023-07-04,2,3136,BL1593322038,,1900-01-01,Desconocido,
2023-07-05,2023-06-14,1dddbfe7-d00f,014-VERISURE-BD,2023-06-14,4,15880,YH6423846005,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,ccf96eff-1352,017-EVOTECH-01,2023-06-13,2,29504,PQ7834091605,,1900-01-01,Desconocido,
2023-07-05,2023-07-03,8202ba50-094d,017-EVOTECH-01,2023-07-03,12,199152,IV2384871767,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,7367ed57-3c88,013-SEALSURE-01,2023-06-13,11,22792,NQ8353789787,,1900-01-01,Desconocido,
2023-07-05,2023-05-15,20be9eb5-4912,005-APTITRH-01,2023-05-15,3,234,HY7631728238,,1900-01-01,Desconocido,
2023-07-05,2023-07-04,48a64278-f24b,021-CIDEZYME-01,2023-07-04,7,6615,UX2829343991,,1900-01-01,Desconocido,
2023-07-05,2023-05-31,e603ce85-d442,009-CCB-01,2023-05-31,2,5128,OH4699930912,,1900-01-01,Desconocido,
2023-07-05,2023-06-02,f90eb4c6-aa1b,004-APTITR-01,2023-06-02,3,3861,MM8859756844,,1900-01-01,Desconocido,
2023-07-05,2023-06-09,60696ef5-cd7e,006-TRAYMAT-01,2023-06-09,6,58806,VE3126891048,,1900-01-01,Desconocido,
2023-07-05,2023-06-21,b28135e4-611b,005-APTITRH-01,2023-06-21,1,130,HJ4817497463,,1900-01-01,Desconocido,
2023-07-05,2023-05-30,acf0ae70-c56a,017-EVOTECH-01,2023-05-30,2,36880,XY1762148448,,1900-01-01,Desconocido,
2023-07-05,2023-06-05,29289d14-59fd,005-APTITRH-01,2023-06-05,2,286,ZB7171955787,,1900-01-01,Desconocido,
2023-07-05,2023-07-03,69901dbd-fa9d,008-CASSETTE-01,2023-07-03,1,785,FT9188305098,,1900-01-01,Desconocido,
2023-07-05,2023-06-30,f2830bab-1bbe,001-100NX-01,2023-06-29,11,143968,HW9988115053,,1900-01-01,Desconocido,
2023-07-05,2023-06-23,b3b83d6c-952b,020-CIDEX-TS-01,2023-06-23,3,144,EL9822855957,,1900-01-01,Desconocido,
2023-07-05,2023-06-26,cfce45bc-bbec,007-TYVEK-01,2023-06-26,8,31032,UC4734806214,,1900-01-01,Desconocido,
2023-07-05,2023-06-14,058e6af9-250f,017-EVOTECH-01,2023-06-14,2,18440,KO1512806956,,1900-01-01,Desconocido,
2023-07-05,2023-06-13,10c333e4-c794,019-CIDEX-01,2023-06-13,6,79440,PQ2950788270,,1900-01-01,Desconocido,
2023-07-05,2023-06-01,638f87eb-0b4c,002-NX-01,2023-06-01,2,18150,QT3029864514,,1900-01-01,Desconocido,
2023-07-05,2023-07-03,22529523-8bc5,016-AEROFLEX-01,2023-07-03,1,808,TV1498820313,,1900-01-01,Desconocido,
2023-07-05,2023-06-30,15bb1017-6600,016-AEROFLEX-01,2023-06-29,2,16160,RQ1292682875,,1900-01-01,Desconocido,
2023-07-05,2023-06-15,9dbf364e-55ee,011-BIOTRACE-PRO,2023-06-15,1,744,LT2869021684,,1900-01-01,Desconocido,
2023-07-05,2023-06-23,b8e8b07a-bc99,017-EVOTECH-01,2023-06-23,11,192698,ZA4097059224,,1900-01-01,Desconocido,
